,abbr,href,name
88,GGIS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS.xml,Geography & Geographic Information Science
89,GLBL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL.xml,Global Studies
90,GMC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GMC.xml,Germanic
91,GRK,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GRK.xml,Greek
92,GRKM,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GRKM.xml,Modern Greek
93,GS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GS.xml,General Studies
94,GSD,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD.xml,Game Studies and Design
95,GWS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS.xml,Gender and Women's Studies
96,HDFS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS.xml,Human Development and Family Studies
97,HEBR,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HEBR.xml,"Hebrew, Modern and Classical"
98,HIST,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST.xml,History
99,HK,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK.xml,Health and Kinesiology
100,HNDI,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HNDI.xml,Hindi
101,HORT,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT.xml,Horticulture
102,HT,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HT.xml,Health Technology
103,HUM,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HUM.xml,Humanities Courses
104,IB,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB.xml,Integrative Biology
105,IE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE.xml,Industrial Engineering
106,INFO,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO.xml,Informatics
107,IS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS.xml,Information Sciences
108,ITAL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL.xml,Italian
109,JAPN,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JAPN.xml,Japanese
110,JOUR,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR.xml,Journalism
111,JS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JS.xml,Jewish Studies
112,KOR,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/KOR.xml,Korean
113,LA,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA.xml,Landscape Architecture
114,LAS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS.xml,Liberal Arts and Sciences
115,LAST,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAST.xml,Latin American and Caribbean Studies
116,LAT,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT.xml,Latin
117,LAW,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW.xml,Law
118,LCTL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LCTL.xml,Less Commonly Taught Languages
119,LEAD,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LEAD.xml,Organizational and Community Leadership
120,LER,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER.xml,Labor and Employment Relations
121,LING,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING.xml,Linguistics
122,LLS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS.xml,Latina/Latino Studies
