,abbr,name,href
92,GRKM,Modern Greek,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GRKM.xml
93,GS,General Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GS.xml
94,GSD,Game Studies and Design,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD.xml
95,GWS,Gender and Women's Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS.xml
96,HDFS,Human Development and Family Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS.xml
97,HEBR,"Hebrew, Modern and Classical",https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HEBR.xml
98,HIST,History,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST.xml
99,HK,Health and Kinesiology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK.xml
100,HNDI,Hindi,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HNDI.xml
101,HORT,Horticulture,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT.xml
102,HT,Health Technology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HT.xml
103,HUM,Humanities Courses,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HUM.xml
104,IB,Integrative Biology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB.xml
105,IE,Industrial Engineering,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE.xml
106,INFO,Informatics,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO.xml
107,IS,Information Sciences,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS.xml
108,ITAL,Italian,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL.xml
109,JAPN,Japanese,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JAPN.xml
110,JOUR,Journalism,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR.xml
111,JS,Jewish Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JS.xml
112,KOR,Korean,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/KOR.xml
113,LA,Landscape Architecture,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA.xml
114,LAS,Liberal Arts and Sciences,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS.xml
115,LAST,Latin American and Caribbean Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAST.xml
116,LAT,Latin,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT.xml
117,LAW,Law,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW.xml
118,LCTL,Less Commonly Taught Languages,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LCTL.xml
119,LEAD,Organizational and Community Leadership,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LEAD.xml
120,LER,Labor and Employment Relations,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER.xml
121,LING,Linguistics,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING.xml
122,LLS,Latina/Latino Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS.xml
123,MACS,Media and Cinema Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS.xml
124,MATH,Mathematics,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH.xml
125,MBA,Regular MBA Program Administration,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA.xml
126,MCB,Molecular and Cell Biology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB.xml
127,MDIA,Media,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MDIA.xml
128,MDVL,Medieval Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MDVL.xml
129,ME,Mechanical Engineering,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME.xml
130,MICR,Microbiology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MICR.xml
131,MILS,Military Science,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MILS.xml
132,MIP,Molecular and Integrative Physiology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MIP.xml
133,MSE,Materials Science and Engineering,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE.xml
134,MUS,Music,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS.xml
135,MUSC,Music Lessons and Ensembles,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC.xml
136,MUSE,Museum Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSE.xml
137,NE,Neural Engineering,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NE.xml
138,NEUR,Neuroscience,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR.xml
139,NPRE,"Nuclear, Plasma, and Radiological Engineering",https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE.xml
140,NRES,Natural Resources and Environmental Sciences,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES.xml
141,NS,Naval Science,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NS.xml
142,NUTR,Nutritional Sciences,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR.xml
143,PATH,Pathobiology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH.xml
144,PERS,Persian,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PERS.xml
145,PHIL,Philosophy,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL.xml
146,PHYS,Physics,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS.xml
